name,id,nametype,recclass,mass,year,reclat,reclong,coordinates
Aachen,1,Valid,L5,0.0,1880-01-01,50.775,6.08333,"[0, 0]"
Aarhus,2,Valid,H6,0.0,1951-01-01,56.18333,10.23333,"[0, 0]"
Abee,6,Valid,EH4,0.0,1952-01-01,54.21667,-113.0,"[0, 0]"
Acapulco,10,Valid,Acapulcoite,0.0,1976-01-01,16.88333,-99.9,"[0, 0]"
Achiras,370,Valid,L6,0.0,1902-01-01,-33.16667,-64.95,"[0, 0]"
Adhi Kot,379,Valid,EH4,0.0,1919-01-01,32.1,71.8,"[0, 0]"
Adzhi-Bogdo (stone),390,Valid,LL3-6,0.0,1949-01-01,44.83333,95.16667,"[0, 0]"
Agen,392,Valid,H5,0.0,1814-01-01,44.21667,0.61667,"[0, 0]"
Aguada,398,Valid,L6,0.0,1930-01-01,-31.6,-65.23333,"[0, 0]"
Aguila Blanca,417,Valid,L,0.0,1920-01-01,-30.86667,-64.55,"[0, 0]"
Aioun el Atrouss,423,Valid,Diogenite-pm,0.0,1974-01-01,16.39806,-9.57028,"[0, 0]"
Aïr,424,Valid,L6,0.0,1925-01-01,19.08333,8.38333,"[0, 0]"
Aire-sur-la-Lys,425,Valid,Unknown,0.0,1769-01-01,50.66667,2.33333,"[0, 0]"
Akaba,426,Valid,L6,0.0,1949-01-01,29.51667,35.05,"[0, 0]"
Akbarpur,427,Valid,H4,0.0,1838-01-01,29.71667,77.95,"[0, 0]"
Akwanga,432,Valid,H,0.0,1959-01-01,8.91667,8.43333,"[0, 0]"
Akyumak,433,Valid,"Iron, IVA",0.0,1981-01-01,39.91667,42.81667,"[0, 0]"
Al Rais,446,Valid,CR2-an,0.0,1957-01-01,24.41667,39.51667,"[0, 0]"
Al Zarnkh,447,Valid,LL5,0.0,2001-01-01,13.66033,28.96,"[0, 0]"
Alais,448,Valid,CI1,0.0,1806-01-01,44.11667,4.08333,"[0, 0]"
Albareto,453,Valid,L/LL4,0.0,1766-01-01,44.65,11.01667,"[0, 0]"
Alberta,454,Valid,L,0.0,1949-01-01,2.0,22.66667,"[0, 0]"
Alby sur Chéran,458,Valid,Eucrite-mmict,0.0,2002-01-01,45.82133,6.01533,"[0, 0]"
Aldsworth,461,Valid,LL5,0.0,1835-01-01,51.78333,-1.78333,"[0, 0]"
Aleppo,462,Valid,L6,0.0,1873-01-01,36.23333,37.13333,"[0, 0]"
Alessandria,463,Valid,H5,0.0,1860-01-01,44.88333,8.75,"[0, 0]"
Alexandrovsky,465,Valid,H4,0.0,1900-01-01,50.95,31.81667,"[0, 0]"
Alfianello,466,Valid,L6,0.0,1883-01-01,45.26667,10.15,"[0, 0]"
Allegan,2276,Valid,H5,0.0,1899-01-01,42.53333,-85.88333,"[0, 0]"
Allende,2278,Valid,CV3,0.0,1969-01-01,26.96667,-105.31667,"[0, 0]"
Almahata Sitta,48915,Valid,Ureilite-an,0.0,2008-01-01,20.74575,32.41275,"[0, 0]"
Alta'ameem,2284,Valid,LL5,0.0,1977-01-01,35.27333,44.21556,"[0, 0]"
Ambapur Nagla,2290,Valid,H5,0.0,1895-01-01,27.66667,78.25,"[0, 0]"
Andhara,2294,Valid,Stone-uncl,0.0,1880-01-01,26.58333,85.56667,"[0, 0]"
Andover,2295,Valid,L6,0.0,1898-01-01,44.61667,-70.75,"[0, 0]"
Andreevka,2296,Valid,L3,0.0,1969-01-01,48.7,37.5,"[0, 0]"
Andura,2298,Valid,H6,0.0,1939-01-01,20.88333,76.86667,"[0, 0]"
Northwest Africa 5815,50693,Valid,L5,0.0,1900-01-01,0.0,0.0,"[0, 0]"
Angers,2301,Valid,L6,0.0,1822-01-01,47.46667,-0.55,"[0, 0]"
Angra dos Reis (stone),2302,Valid,Angrite,0.0,1869-01-01,-22.96667,-44.31667,"[0, 0]"
Ankober,2304,Valid,H4,0.0,1942-01-01,9.53333,39.71667,"[0, 0]"
Anlong,2305,Valid,H5,0.0,1971-01-01,25.15,105.18333,"[0, 0]"
Aomori,2313,Valid,L6,0.0,1984-01-01,40.81056,140.78556,"[0, 0]"
Appley Bridge,2318,Valid,LL6,0.0,1914-01-01,53.58333,-2.71667,"[0, 0]"
Apt,2320,Valid,L6,0.0,1803-01-01,43.86667,5.38333,"[0, 0]"
Arbol Solo,2325,Valid,H5,0.0,1954-01-01,-33.0,-66.0,"[0, 0]"
Archie,2329,Valid,H6,0.0,1932-01-01,38.5,-94.3,"[0, 0]"
Arroyo Aguiar,2340,Valid,H5,0.0,1950-01-01,-31.41667,-60.66667,"[0, 0]"
Asco,2345,Valid,H6,0.0,1805-01-01,42.45,9.03333,"[0, 0]"
Ash Creek,48954,Valid,L6,0.0,2009-01-01,31.805,-97.01,"[0, 0]"
Ashdon,2346,Valid,L6,0.0,1923-01-01,52.05,0.3,"[0, 0]"
Assisi,2353,Valid,H5,0.0,1886-01-01,43.03333,12.55,"[0, 0]"
Atarra,4883,Valid,L4,0.0,1920-01-01,25.25417,80.625,"[0, 0]"
Atemajac,4884,Valid,L6,0.0,1896-01-01,20.06667,-103.66667,"[0, 0]"
Athens,4885,Valid,LL6,0.0,1933-01-01,34.75,-87.0,"[0, 0]"
Atoka,4888,Valid,L6,0.0,1945-01-01,34.31667,-96.15,"[0, 0]"
Aubres,4893,Valid,Aubrite,0.0,1836-01-01,44.38333,5.16667,"[0, 0]"
Aumale,4899,Valid,L6,0.0,1865-01-01,36.16667,3.66667,"[0, 0]"
Aumieres,4900,Valid,L6,0.0,1842-01-01,44.33333,3.23333,"[0, 0]"
Ausson,4903,Valid,L5,0.0,1858-01-01,43.08333,0.58333,"[0, 0]"
Avanhandava,4905,Valid,H4,0.0,1952-01-01,-21.46028,-49.95083,"[0, 0]"
Avce,4906,Valid,"Iron, IIAB",0.0,1908-01-01,46.0,13.5,"[0, 0]"
Avilez,4907,Valid,H,0.0,1855-01-01,25.0,-103.5,"[0, 0]"
Awere,4910,Valid,L4,0.0,1968-01-01,2.71667,32.83333,"[0, 0]"
Aztec,4913,Valid,L6,0.0,1938-01-01,36.8,-108.0,"[0, 0]"
Bachmut,4917,Valid,L6,0.0,1814-01-01,48.6,38.0,"[0, 0]"
Bahjoi,4922,Valid,"Iron, IAB-sLL",0.0,1934-01-01,28.48333,78.5,"[0, 0]"
Bald Mountain,4925,Valid,L4,0.0,1929-01-01,35.96667,-82.48333,"[0, 0]"
Baldwyn,4926,Valid,L6,0.0,1922-01-01,34.5,-88.66667,"[0, 0]"
Bali,4928,Valid,CV3,0.0,1907-01-01,5.38333,16.38333,"[0, 0]"
Ban Rong Du,4934,Valid,"Iron, ungrouped",0.0,1993-01-01,16.66667,101.18333,"[0, 0]"
Bandong,4935,Valid,LL6,0.0,1871-01-01,-6.91667,107.6,"[0, 0]"
Bansur,4936,Valid,L6,0.0,1892-01-01,27.7,76.33333,"[0, 0]"
Banswal,4937,Valid,L5,0.0,1913-01-01,30.4,78.2,"[0, 0]"
Banten,4938,Valid,CM2,0.0,1933-01-01,-6.33333,106.0,"[0, 0]"
Barbotan,4942,Valid,H5,0.0,1790-01-01,43.95,-0.05,"[0, 0]"
Barcelona (stone),4944,Valid,OC,0.0,1704-01-01,41.36667,2.16667,"[0, 0]"
Barea,4946,Valid,Mesosiderite-A1,0.0,1842-01-01,42.38333,-2.5,"[0, 0]"
Barnaul,4947,Valid,H5,0.0,1904-01-01,52.73333,84.08333,"[0, 0]"
Barntrup,4948,Valid,LL4,0.0,1886-01-01,52.0,9.1,"[0, 0]"
Baroti,4949,Valid,L6,0.0,1910-01-01,31.61667,76.8,"[0, 0]"
Barwell,4954,Valid,L5,0.0,1965-01-01,52.56528,-1.33972,"[0, 0]"
Bassikounou,44876,Valid,H5,0.0,2006-01-01,15.78333,-5.9,"[0, 0]"
Baszkówka,4957,Valid,L5,0.0,1994-01-01,52.03333,20.93583,"[0, 0]"
Bath,4974,Valid,H4,0.0,1892-01-01,45.41667,-98.31667,"[0, 0]"
Bath Furnace,4975,Valid,L6,0.0,1902-01-01,38.25,-83.75,"[0, 0]"
Battle Mountain,56133,Valid,L6,0.0,2012-01-01,40.66813,-117.18913,"[0, 0]"
Bawku,4976,Valid,LL5,0.0,1989-01-01,11.08333,-0.18333,"[0, 0]"
Baxter,4977,Valid,L6,0.0,1916-01-01,36.75,-93.5,"[0, 0]"
Beardsley,4984,Valid,H5,0.0,1929-01-01,39.8,-101.2,"[0, 0]"
Beaver Creek,4986,Valid,H5,0.0,1893-01-01,51.16667,-117.33333,"[0, 0]"
Beddgelert,4993,Valid,H5,0.0,1949-01-01,53.01667,-4.1,"[0, 0]"
Bells,5005,Valid,C2-ung,0.0,1961-01-01,33.6,-96.46667,"[0, 0]"
Belville,5009,Valid,OC,0.0,1937-01-01,-32.33333,-64.86667,"[0, 0]"
Benares (a),5011,Valid,LL4,0.0,1798-01-01,25.36667,82.91667,"[0, 0]"
Benguerir,30443,Valid,LL6,0.0,2004-01-01,32.25,-8.15,"[0, 0]"
Beni M'hira,5018,Valid,L6,0.0,2001-01-01,32.86667,10.8,"[0, 0]"
Benld,5021,Valid,H6,0.0,1938-01-01,39.08333,-89.15,"[0, 0]"
Benoni,5023,Valid,H6,0.0,1943-01-01,-26.16667,28.41667,"[0, 0]"
Bensour,5024,Valid,LL6,0.0,2002-01-01,30.0,-7.0,"[0, 0]"
Benton,5026,Valid,LL6,0.0,1949-01-01,45.95,-67.55,"[0, 0]"
Berduc,48975,Valid,L6,0.0,2008-01-01,-31.91,-58.32833,"[0, 0]"
Béréba,5028,Valid,Eucrite-mmict,0.0,1924-01-01,11.65,-3.65,"[0, 0]"
Berlanguillas,5029,Valid,L6,0.0,1811-01-01,41.68333,-3.8,"[0, 0]"
Berthoud,47355,Valid,Eucrite-mmict,0.0,2004-01-01,40.30583,-105.02325,"[0, 0]"
Bethlehem,5032,Valid,H,0.0,1859-01-01,42.53333,-73.83333,"[0, 0]"
Beuste,5034,Valid,L5,0.0,1859-01-01,43.21667,-0.23333,"[0, 0]"
Beyrout,5035,Valid,LL3.8,0.0,1921-01-01,33.88333,35.5,"[0, 0]"
Bhagur,5037,Valid,L6,0.0,1877-01-01,20.88333,74.83333,"[0, 0]"
Bhawad,36591,Valid,LL6,0.0,2002-01-01,26.50833,73.11528,"[0, 0]"
Bherai,5039,Valid,L6,0.0,1893-01-01,20.83333,71.46667,"[0, 0]"
Bhola,5040,Valid,LL3-6,0.0,1940-01-01,22.68333,90.65,"[0, 0]"
Bholghati,5041,Valid,Howardite,0.0,1905-01-01,22.08333,86.9,"[0, 0]"
Bialystok,5042,Valid,Eucrite-pmict,0.0,1827-01-01,53.1,23.2,"[0, 0]"
Bielokrynitschie,5043,Valid,H4,0.0,1887-01-01,50.13333,27.16667,"[0, 0]"
Bilanga,5045,Valid,Diogenite,0.0,1999-01-01,12.45,-0.08333,"[0, 0]"
Binningup,5051,Valid,H5,0.0,1984-01-01,-33.15639,115.67639,"[0, 0]"
Birni N'konni,5056,Valid,H4,0.0,1923-01-01,13.76667,5.3,"[0, 0]"
Bishopville,5059,Valid,Aubrite,0.0,1843-01-01,34.16667,-80.28333,"[0, 0]"
Bishunpur,5060,Valid,LL3.15,0.0,1895-01-01,25.38333,82.6,"[0, 0]"
Bjelaja Zerkov,5063,Valid,H6,0.0,1796-01-01,49.78333,30.16667,"[0, 0]"
Bjurböle,5064,Valid,L/LL4,0.0,1899-01-01,60.4,25.8,"[0, 0]"
Black Moshannan Park,5065,Valid,L5,0.0,1941-01-01,40.91667,-78.08333,"[0, 0]"
Blackwell,5068,Valid,L5,0.0,1906-01-01,36.83333,-97.33333,"[0, 0]"
Blanket,5071,Valid,L6,0.0,1909-01-01,31.83333,-98.83333,"[0, 0]"
Blansko,5072,Valid,H6,0.0,1833-01-01,49.36667,16.63333,"[0, 0]"
Bloomington,5076,Valid,LL6,0.0,1938-01-01,40.48,-89.00417,"[0, 0]"
Bo Xian,5090,Valid,LL3.9,0.0,1977-01-01,33.83333,115.83333,"[0, 0]"
Bocas,5093,Valid,L6,0.0,1804-01-01,23.0,-102.0,"[0, 0]"
Bogou,5097,Valid,"Iron, IAB-MG",0.0,1962-01-01,12.5,0.7,"[0, 0]"
Boguslavka,5098,Valid,"Iron, IIAB",0.0,1916-01-01,44.55,131.63333,"[0, 0]"
Borgo San Donino,5110,Valid,LL6,0.0,1808-01-01,44.86667,10.05,"[0, 0]"
Bori,5111,Valid,L6,0.0,1894-01-01,21.95,78.03333,"[0, 0]"
Boriskino,5112,Valid,CM2,0.0,1930-01-01,54.23333,52.48333,"[0, 0]"
Borkut,5113,Valid,L5,0.0,1852-01-01,48.15,24.28333,"[0, 0]"
Borodino,5114,Valid,H5,0.0,1812-01-01,55.46667,35.86667,"[0, 0]"
Botschetschki,5117,Valid,L4,0.0,1823-01-01,51.33333,33.88333,"[0, 0]"
Boumdeid (2003),57168,Valid,L6,0.0,2003-01-01,17.71067,-11.3715,"[0, 0]"
Boumdeid (2011),57167,Valid,L6,0.0,2011-01-01,17.17493,-11.34133,"[0, 0]"
Bovedy,5121,Valid,L3,0.0,1969-01-01,54.56667,-6.33333,"[0, 0]"
Bradford Woods,5128,Valid,L,0.0,1886-01-01,40.5,-80.08333,"[0, 0]"
Braunau,5133,Valid,"Iron, IIAB",0.0,1847-01-01,50.6,16.3,"[0, 0]"
Breitscheid,5134,Valid,H5,0.0,1956-01-01,50.66694,8.18361,"[0, 0]"
Bremervörde,5135,Valid,H/L3.9,0.0,1855-01-01,53.4,9.1,"[0, 0]"
Brient,5140,Valid,Eucrite-pmict,0.0,1933-01-01,52.13333,59.31667,"[0, 0]"
Bruderheim,5156,Valid,L6,0.0,1960-01-01,53.9,-112.88333,"[0, 0]"
Bukhara,30448,Valid,CV3,0.0,2001-01-01,39.77978,64.60035,"[0, 0]"
Bulls Run,5163,Valid,Iron?,0.0,1964-01-01,0.0,0.0,"[0, 0]"
Bunburra Rockhole,48653,Valid,Eucrite,0.0,2007-01-01,-31.35,129.19,"[0, 0]"
Bununu,5165,Valid,Howardite,0.0,1942-01-01,10.01667,9.58333,"[0, 0]"
Bur-Gheluai,5169,Valid,H5,0.0,1919-01-01,5.0,48.0,"[0, 0]"
Burnwell,5175,Valid,H4-an,0.0,1990-01-01,37.62194,-82.23722,"[0, 0]"
Bursa,5177,Valid,L6,0.0,1946-01-01,40.2,29.23333,"[0, 0]"
Buschhof,5178,Valid,L6,0.0,1863-01-01,46.45,25.78333,"[0, 0]"
