name,id,recclass,mass,fall,year,reclat,reclong,point coordinates
Aachen,1,L5,21.0,Fell,1880-01-01,50.775,6.08333,"[50.775, 6.08333]"
Aarhus,2,H6,720.0,Fell,1951-01-01,56.18333,10.23333,"[56.18333, 10.23333]"
Abee,6,EH4,107000.0,Fell,1952-01-01,54.21667,-113.0,"[54.21667, -113.0]"
Acapulco,10,Acapulcoite,1914.0,Fell,1976-01-01,16.88333,-99.9,"[16.88333, -99.9]"
Achiras,370,L6,780.0,Fell,1902-01-01,-33.16667,-64.95,"[-33.16667, -64.95]"
Adhi Kot,379,EH4,4239.0,Fell,1919-01-01,32.1,71.8,"[32.1, 71.8]"
Adzhi-Bogdo (stone),390,LL3-6,910.0,Fell,1949-01-01,44.83333,95.16667,"[44.83333, 95.16667]"
Agen,392,H5,30000.0,Fell,1814-01-01,44.21667,0.61667,"[44.21667, 0.61667]"
Aguada,398,L6,1620.0,Fell,1930-01-01,-31.6,-65.23333,"[-31.6, -65.23333]"
Aguila Blanca,417,L,1440.0,Fell,1920-01-01,-30.86667,-64.55,"[-30.86667, -64.55]"
Aioun el Atrouss,423,Diogenite-pm,1000.0,Fell,1974-01-01,16.39806,-9.57028,"[16.39806, -9.57028]"
Aïr,424,L6,24000.0,Fell,1925-01-01,19.08333,8.38333,"[19.08333, 8.38333]"
Akaba,426,L6,779.0,Fell,1949-01-01,29.51667,35.05,"[29.51667, 35.05]"
Akbarpur,427,H4,1800.0,Fell,1838-01-01,29.71667,77.95,"[29.71667, 77.95]"
Akwanga,432,H,3000.0,Fell,1959-01-01,8.91667,8.43333,"[8.91667, 8.43333]"
Akyumak,433,"Iron, IVA",50000.0,Fell,1981-01-01,39.91667,42.81667,"[39.91667, 42.81667]"
Al Rais,446,CR2-an,160.0,Fell,1957-01-01,24.41667,39.51667,"[24.41667, 39.51667]"
Al Zarnkh,447,LL5,700.0,Fell,2001-01-01,13.66033,28.96,"[13.66033, 28.96]"
